Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
67	127.7515	520.9256	507.6734	-694.7109	3.5714285	-66.18416	24.49537	64.153786	-71.86791	2040	4.4951836e-08	236972.98	-0.01707564	-5477.5625	0.462265	0.016415019	0.0	5.0	38166.45749258995
68	-412.44806	456.2657	498.44635	-671.0256	5.2	-35.22363	58.206165	64.39957	-72.127594	2070	9.139379e-08	253892.16	-0.02116089	-16674.25	0.4601326	0.016438773	0.0	20.0	38691.193188905716
69	-275.76407	519.7312	506.31226	-689.98016	4.8333335	-73.32754	0.12903963	-72.636024	-73.35387	2100	7.947286e-09	257005.53	-0.010404488	-1224.1875	0.4570792	0.01578922	0.1	11.0	39295.34027719498
70	34.971405	554.6524	512.18005	-690.66974	3.75	-75.2103	0.0013159426	-75.20322	-75.210556	2130	-5.9604646e-09	294143.03	-0.0020661731	-204.625	0.45600197	0.01658525	0.0	8.0	39870.631816625595
71	124.2143	503.9129	503.3748	-675.52344	3.857143	-76.01971	0.1445706	-75.24136	-76.0474	2160	-3.4769376e-09	237950.92	-0.03003465	-21.828125	0.4548032	0.016119305	0.13333334	17.0	40465.69687795639
72	41.442932	509.1162	507.90894	-673.87036	4.3333335	-74.32946	8.744126	-27.240902	-75.95324	2190	-9.437402e-09	208706.06	-0.023435518	-135.90625	0.45062986	0.018021334	0.16666667	14.0	41092.737161397934
73	303.97244	356.00558	503.82422	-627.7998	3.625	-75.1612	2.9444246	-62.57371	-75.939674	2220	2.7815501e-08	234927.27	-0.013094328	-8260.703	0.44847485	0.015979895	0.06666667	13.0	41688.47653508186
74	-413.7094	443.85794	463.95987	-684.21704	5.4	-74.64377	0.012845859	-74.58315	-74.64745	2250	-1.1920929e-07	238852.55	-0.02408431	-1240.3594	0.44671282	0.015250921	0.13333334	64.0	42208.13166952133
75	-75.542984	574.3049	508.32315	-685.45264	3.625	-67.55083	28.884317	67.807045	-76.41014	2280	7.152558e-08	279063.03	-0.03265881	-10420.281	0.41813534	0.016736409	0.4	14.0	42798.11490535736
76	-637.56903	38.20139	-586.8797	-681.28455	6.0	-78.139656	0.20175053	-77.053185	-78.17713	2310	2.9206277e-07	278278.56	-0.0288896	-2762.9062	0.41395578	-0.0074649197	0.2	79.0	43325.33656525612
77	-104.38272	542.46686	486.96344	-671.02747	4.5	-76.024155	21.035694	34.015465	-80.83925	2340	-4.7683717e-08	227291.48	-0.030958803	-4242.9844	0.3849821	-2.0704667e-05	0.26666668	79.0	43919.26449871063
78	118.17101	515.59595	513.36053	-694.951	3.5714285	-74.49248	28.569532	43.497536	-82.09258	2370	1.5894573e-08	206028.89	-0.054778572	-5334.0625	0.38949046	0.0074412427	0.2	79.0	44471.52059864998
79	-302.04373	533.86237	488.7059	-689.56555	5.0	-76.07764	28.48747	72.52949	-82.637375	2400	-7.947286e-09	271302.22	-0.009021563	-2416.5	0.36896095	0.019828135	0.0	5.0	45029.59460568428
80	-32.418007	566.9372	514.0791	-695.0285	4.142857	-84.06625	0.3808116	-82.01552	-84.13716	2430	1.6887983e-08	272845.16	-0.039588477	-308.625	0.36743537	0.018615905	0.13333334	5.0	45585.249648332596
81	121.71923	477.8789	495.27347	-655.00836	4.285714	-74.10784	40.028515	75.662994	-84.9066	2460	-5.165736e-08	255115.81	-0.027984107	-2303.9688	0.36591622	-0.0070914766	0.3	79.0	46150.544984817505
82	113.02804	505.90735	511.85852	-688.4603	3.857143	-62.205055	49.47813	74.03439	-84.83829	2490	2.483527e-10	257046.14	-0.014701585	-25696.969	0.3636805	0.017916981	0.1	24.0	46744.692329883575
83	163.78683	477.333	504.2412	-661.6419	3.75	-79.191696	28.45356	74.028175	-84.56272	2520	2.7815501e-08	275029.9	-0.008521278	-312.375	0.3647903	0.015953926	0.033333335	33.0	47326.35232305527
84	63.98575	564.4698	521.1729	-674.96643	3.5	-84.280495	0.07095078	-83.89852	-84.29402	2550	-4.967054e-09	271376.9	-0.014861103	-157.3125	0.3566812	0.016403701	0.0	11.0	47899.727075338364
