Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
85	194.05188	497.64175	573.83734	-675.52136	3.625	-75.85287	8.568504e-05	-75.85254	-75.853	2580	9.089708e-08	257579.48	-0.01435439	-11.484375	0.4004307	0.01728843	0.1	10.0	53245.6904695034
86	1.9449158	553.2965	561.3169	-661.2123	3.857143	-75.77745	0.00011211144	-75.77712	-75.77766	2610	4.172325e-08	253308.25	-0.017546043	-239.07812	0.3958026	0.017801749	0.0	8.0	53857.11725068092
87	50.967274	542.1097	504.64688	-663.0431	3.75	-76.54753	0.00010459971	-76.54725	-76.547714	2640	2.7815501e-08	262755.53	-0.021356719	-163.5625	0.39244547	-0.01580922	0.06666667	79.0	54470.057314395905
88	-104.41626	567.823	514.57385	-674.25226	4.5	-77.268585	4.879235e-05	-77.26849	-77.26871	2670	1.4901161e-09	252215.4	-0.019890588	-358.35938	0.36462936	0.000532645	0.0	79.0	55082.51681637764
89	208.81686	476.3708	513.206	-691.7899	3.3333333	-78.30627	5.659825e-05	-78.30607	-78.30634	2700	3.1789146e-08	265434.78	-0.026917104	-53.25	0.32425728	0.00059352914	0.1	79.0	55744.53987002373
90	-10.276738	550.4033	512.7705	-703.7383	3.857143	-77.97169	0.00010068681	-77.971275	-77.971825	2730	9.636084e-08	235371.45	-0.024728438	-276.90625	0.3380328	0.016163541	0.13333334	7.0	56356.28675031662
91	-306.423	527.7205	508.16907	-699.9125	5.0	-78.842766	4.3893888e-05	-78.8427	-78.84286	2760	1.3311704e-07	285270.84	-0.020288762	-1423.8438	0.33922097	0.018312411	0.0	9.0	56935.40253949165
92	44.81623	547.24817	538.4316	-686.8067	3.75	-80.910126	6.464758e-05	-80.909874	-80.91025	2790	-7.947286e-09	270808.2	-0.0041481815	-181.59375	0.33897245	0.016244842	0.033333335	9.0	57546.63585352898
93	-15.205275	570.5383	513.8876	-682.48083	4.285714	-81.75237	8.573032e-05	-81.751976	-81.75249	2820	-1.5894573e-08	279940.0	-0.060164206	-170.40625	0.33576453	0.015403479	0.06666667	4.0	58174.28217458725
94	10.887094	575.91534	534.5004	-688.3796	3.5714285	-82.49289	5.204418e-05	-82.49276	-82.493004	2850	-5.265077e-08	243112.19	-0.02851218	-463.6875	0.33390614	0.01794326	0.06666667	19.0	58786.088562488556
95	-411.7103	457.55072	501.98544	-681.6114	5.0	-83.70128	9.4544994e-05	-83.70097	-83.70141	2880	3.973643e-09	224727.34	0.006790141	-1954.5938	0.32947314	0.016347917	0.0	4.0	59365.57231378555
96	-79.725716	556.8689	513.51794	-669.4641	4.1666665	-86.09788	6.828202e-05	-86.0976	-86.097946	2910	-5.066395e-08	222316.25	-0.016676586	-520.65625	0.32905588	0.015049275	0.1	37.0	59977.13577580452
97	-646.1776	29.96845	-590.86163	-677.04724	6.0	-87.41939	8.301679e-05	-87.41915	-87.41948	2940	-1.552701e-06	275764.6	-0.023765026	-2735.0625	0.32961044	0.022356598	0.0	4.0	60540.22848844528
98	-71.727715	558.4676	511.26672	-663.2415	4.1666665	-90.083374	4.3248194e-05	-90.08329	-90.08346	2970	2.682209e-08	231383.11	-0.0070453663	-483.29688	0.32962704	0.02366098	0.0	2.0	61135.336159706116
99	235.20773	480.82172	510.96265	-671.4373	3.0	-91.30981	4.1834322e-05	-91.30968	-91.309875	3000	4.9670536e-08	258498.48	-0.03923246	-29.0	0.3293372	0.0003305753	0.2	79.0	61796.19465184212
100	197.31636	510.48715	562.0529	-698.26215	3.375	-91.09618	4.204251e-05	-91.096016	-91.096245	3030	2.036492e-08	268398.78	-0.014402077	-47.4375	0.34013498	0.015121128	0.06666667	12.0	62455.899340867996
101	-28.999146	546.6356	506.3494	-682.03186	4.285714	-90.72945	4.313589e-05	-90.72926	-90.72949	3060	-4.3710074e-08	258822.47	-0.012896256	-118.9375	0.33697125	0.021048812	0.033333335	4.0	63067.287663936615
102	113.19761	527.7213	504.9572	-639.64954	3.3333333	-91.26511	4.0538824e-05	-91.265	-91.26516	3090	3.973643e-09	302547.94	-0.025812471	-120.0	0.33532655	0.0153435385	0.1	28.0	63758.93825316429
103	-290.069	517.51886	480.69528	-725.96185	5.0	-91.87017	5.3803913e-05	-91.87	-91.87026	3120	9.934108e-10	288889.84	-0.019628342	-1124.7812	0.33108294	0.015270885	0.3	21.0	64386.29061150551
104	324.13873	360.7163	505.15973	-682.5001	3.1111112	-93.63339	5.1160576e-05	-93.633224	-93.633446	3150	-7.947286e-09	256577.31	-0.026141774	-658.2969	0.3251591	0.020338522	0.0	4.0	65078.29366135597
105	92.43143	539.30743	510.6707	-714.23224	3.3333333	-92.426094	4.5264886e-05	-92.42592	-92.426155	3180	3.973643e-09	278710.62	-0.031096935	-87.28125	0.3234516	0.016018936	0.1	23.0	65726.4296696186
106	150.93379	551.4897	553.45074	-698.16754	2.8	-92.82511	3.1146872e-05	-92.825005	-92.82515	3210	1.4404455e-08	281720.78	-0.012466373	-150.875	0.31139508	-0.014633691	0.033333335	79.0	66373.54936289787
107	238.99771	451.9688	508.3786	-663.5112	2.9	-93.501274	2.9482782e-05	-93.501236	-93.501335	3240	-2.6325385e-08	255841.92	-0.011516443	-63.453125	0.2921591	0.01886067	0.0	6.0	67031.15768289566
108	-275.1811	538.72327	504.4057	-706.7557	4.5	-93.11658	4.3893888e-05	-93.11641	-93.11665	3270	9.536743e-08	240645.8	-0.012016767	-1252.4531	0.2898836	0.016698701	0.0	11.0	67658.97048163414
109	164.49326	478.26035	506.02792	-685.0102	3.75	-94.94035	2.293053e-05	-94.9403	-94.94039	3300	3.973643e-09	251856.56	-0.011086638	-42.0	0.28782845	-0.020006604	0.1	79.0	68271.75976324081
110	-99.5165	562.7997	511.81198	-715.45496	4.1666665	-94.69678	2.526547e-05	-94.69672	-94.69682	3330	7.947286e-08	222280.53	-0.021400336	-457.82812	0.28349602	0.018997263	0.0	4.0	68867.0106973648
